order_id,material_cost,labor_cost,manufacturing_cost,logistics_cost,other_cost
O000001,2042.94,558.11,485.5,209.96,30.56
O000002,2508.18,494.2,356.39,119.1,52.45
O000003,1150.62,277.72,272.08,68.64,25.03
O000004,5100.27,1368.01,802.82,326.06,95.64
O000005,4667.73,827.52,820.44,206.82,129.63
O000006,14427.8,3568.86,2430.26,1495.4,429.41
O000007,8409.95,1799.05,1485.02,386.94,242.4
O000008,9787.44,1936.92,2092.9,383.5,361.39
O000009,11649.38,2539.26,2272.27,962.13,378.6
O000010,787.52,178.49,120.02,38.87,15.44
O000011,11983.22,2721.52,2528.19,866.16,184.23
O000012,3451.27,472.59,557.58,88.22,75.74
O000013,9000.12,2189.13,1385.59,396.97,247.82
O000014,8682.17,1760.11,1423.28,558.34,241.4
O000015,9638.87,2513.09,1913.28,328.82,168.84
O000016,11500.3,2798.94,1957.2,1013.96,201.65
O000017,20292.37,3651.22,4614.39,1703.95,317.2
O000018,4026.0,784.24,798.8,299.23,110.43
O000019,2053.76,384.96,357.68,69.15,30.94
O000020,4149.43,910.18,625.05,284.02,124.03
O000021,1640.81,331.59,251.28,65.18,43.35
O000022,2787.74,492.39,522.13,216.1,50.23
O000023,2322.07,558.8,515.4,116.41,61.22
O000024,2299.68,469.65,393.45,119.46,24.01
O000025,1129.99,277.37,242.06,37.02,19.61
O000026,1330.22,273.36,245.78,102.12,13.14
O000027,4352.14,863.8,723.45,443.26,97.19
O000028,5095.1,1242.36,778.96,232.59,173.51
O000029,5160.9,1040.49,895.17,448.38,101.86
O000030,5468.08,1172.47,1066.77,182.96,132.44
O000031,3456.12,751.11,519.48,181.01,93.07
O000032,9987.92,1972.51,1950.89,449.51,391.79
O000033,4247.83,859.67,891.28,276.6,68.67
O000034,4596.18,1132.15,736.22,206.01,68.2
O000035,1134.92,285.39,265.15,86.15,31.59
O000036,2739.83,475.49,423.69,129.8,46.58
O000037,1735.25,347.12,285.72,109.61,63.18
O000038,7682.94,1428.92,1659.32,323.51,111.44
O000039,5845.74,1464.32,1336.2,445.03,123.04
O000040,7636.79,1495.09,1829.86,623.24,90.22
O000041,1513.15,323.76,349.17,109.25,18.94
O000042,5680.03,1224.09,912.92,407.03,136.28
O000043,5523.23,1407.72,1224.25,212.94,108.73
O000044,936.45,177.09,208.61,31.95,13.1
O000045,4951.83,1189.22,1075.7,274.85,88.03
O000046,6771.0,1198.78,1128.46,222.12,70.67
O000047,4747.92,954.09,841.16,367.57,62.57
O000048,5325.92,1224.64,912.45,296.12,101.22
O000049,1731.45,477.24,367.11,170.07,64.44
O000050,13127.87,2768.58,2272.7,1157.26,470.93
O000051,3899.53,731.75,626.76,278.96,121.52
O000052,1002.16,188.97,187.7,36.19,39.24
O000053,2534.08,600.28,472.2,129.18,39.73
O000054,4490.59,874.97,658.09,180.03,34.43
O000055,4680.75,1035.01,864.96,445.36,127.22
O000056,5600.11,1102.89,1269.3,339.52,61.66
O000057,6298.93,1338.2,1367.44,542.77,161.2
O000058,2959.8,526.9,570.54,211.31,63.5
O000059,8171.96,2092.29,1345.88,317.73,264.67
O000060,1340.66,326.5,264.39,93.95,32.99
O000061,939.33,247.59,165.48,42.81,20.08
O000062,6566.68,1404.13,1110.37,377.55,79.06
O000063,1131.06,281.57,257.19,92.4,23.77
O000064,8150.18,1614.34,1215.2,670.01,255.32
O000065,3030.31,679.35,473.54,244.44,78.51
O000066,11674.68,2773.0,1963.75,403.17,175.09
O000067,3656.15,782.05,741.19,286.76,110.93
O000068,7960.54,1397.37,1386.28,559.62,99.82
O000069,1596.25,398.71,276.44,114.53,20.84
O000070,12598.58,1720.34,1546.71,731.15,287.68
O000071,3137.03,754.0,687.92,321.43,120.66
O000072,6609.83,1527.93,1270.55,206.82,80.52
O000073,10709.44,2565.87,2087.91,569.86,101.18
O000074,1157.27,257.51,228.98,113.59,15.85
O000075,2007.6,424.52,476.3,142.9,36.65
O000076,7484.08,1568.02,1143.73,405.32,98.73
O000077,1792.48,462.12,385.88,77.61,29.87
O000078,11936.72,2611.38,2009.81,910.82,438.16
O000079,1817.73,323.14,314.84,89.73,23.48
O000080,9269.49,1948.67,1950.24,762.75,196.4
O000081,2175.7,403.28,481.38,91.42,35.42
O000082,7378.56,1621.4,1557.79,758.18,258.45
O000083,8725.66,2049.34,1821.9,693.14,253.97
O000084,7297.3,1726.43,1560.46,312.94,127.45
O000085,7605.0,1888.12,1375.1,819.1,136.93
O000086,11765.81,2537.69,2770.75,557.8,269.25
O000087,3755.69,889.5,890.49,206.58,138.26
O000088,6272.18,1097.01,1282.3,297.97,94.98
O000089,1618.67,386.36,294.37,45.78,52.1
O000090,10867.41,2137.18,2035.45,364.29,230.11
O000091,3246.98,729.49,543.33,307.95,69.22
O000092,6028.46,1211.77,1115.91,258.37,168.22
O000093,8904.79,1625.8,1366.71,594.17,146.2
O000094,2116.93,450.81,434.51,187.96,50.29
O000095,3025.51,536.18,504.13,98.72,76.42
O000096,13037.19,2745.34,3107.09,861.67,249.64
O000097,7047.76,1393.75,1114.69,462.63,183.39
O000098,2221.54,466.15,470.74,96.17,50.62
O000099,1168.91,261.06,276.25,55.54,42.23
O000100,4143.2,780.15,681.26,295.28,64.15
O000101,8636.22,2040.59,1520.91,466.79,163.21
O000102,7004.4,1364.13,1087.79,401.09,217.07
O000103,1865.74,474.57,413.61,85.16,40.14
O000104,11574.15,2915.37,2003.03,770.15,466.1
O000105,642.73,145.85,151.18,58.36,11.72
O000106,6576.99,1423.07,1560.02,603.07,200.49
O000107,8515.83,1536.58,1807.16,511.29,258.88
O000108,3185.53,696.62,733.18,97.99,97.19
O000109,9068.7,2233.99,1927.84,278.32,168.17
O000110,2913.43,592.89,655.31,145.72,75.53
O000111,986.39,236.87,219.15,47.1,24.88
O000112,4762.85,851.93,967.1,204.37,53.13
O000113,7892.42,1562.84,1746.6,227.07,89.17
O000114,1403.34,324.34,300.24,76.17,55.77
O000115,4206.05,881.66,856.32,285.03,51.61
O000116,625.27,97.69,124.28,23.2,14.65
O000117,8419.21,1629.29,1807.32,240.49,234.74
O000118,4681.88,1068.84,691.9,182.53,146.44
O000119,436.22,89.26,91.52,26.07,8.83
O000120,3195.47,671.34,511.37,175.05,56.09
O000121,3827.85,696.43,757.55,203.39,74.5
O000122,2350.36,445.15,551.25,127.85,73.62
O000123,9777.9,2105.34,1693.98,453.73,353.66
O000124,9761.54,2268.26,1781.08,811.52,285.91
O000125,6943.49,1670.49,1347.44,189.15,212.54
O000126,4620.72,1100.56,878.23,303.36,136.77
O000127,2258.43,453.45,348.13,156.76,36.72
O000128,921.87,179.84,148.21,46.27,17.53
O000129,3396.47,888.49,573.16,310.95,91.32
O000130,12315.11,3515.57,2342.87,757.72,228.29
O000131,1721.02,370.47,268.13,56.64,48.23
O000132,5449.8,885.05,896.76,425.14,90.58
O000133,829.29,151.94,161.53,65.8,23.94
O000134,1693.82,376.52,293.61,161.76,66.38
O000135,4279.27,1065.21,1000.81,162.2,54.69
O000136,3717.41,866.14,921.49,323.92,48.07
O000137,10104.37,1780.03,1809.04,574.05,200.33
O000138,3286.62,776.0,832.71,129.25,91.34
O000139,11232.28,2635.21,2324.55,741.92,374.7
O000140,3350.89,767.74,511.83,256.61,53.52
O000141,4028.91,780.56,577.92,171.87,166.54
O000142,1410.88,273.81,231.82,66.39,14.28
O000143,1456.39,288.23,284.61,46.13,26.5
O000144,1782.41,324.39,324.93,78.33,26.34
O000145,5334.76,1217.65,1080.68,241.23,108.94
O000146,1672.93,397.84,333.2,95.66,60.48
O000147,7382.83,2093.73,1255.02,702.99,175.9
O000148,4550.03,801.46,788.79,198.46,147.67
O000149,513.05,93.81,98.39,28.18,6.11
O000150,6835.81,1925.38,1365.1,243.32,103.1
O000151,2542.06,592.07,472.12,159.72,38.72
