customer_id,customer_name,region,province,customer_type,credit_level
C0001,广东客户001,华南,广西,终端工厂,B
C0002,广东客户002,华南,福建,经销商,B
C0003,上海客户003,华东,安徽,终端工厂,A
C0004,重庆客户004,西南,四川,终端工厂,A
C0005,河南客户005,华中,湖南,设备集成商,B
C0006,福建客户006,华南,广东,经销商,B
C0007,福建客户007,华南,广西,终端工厂,A
C0008,天津客户008,华北,北京,设备集成商,C
C0009,安徽客户009,华东,浙江,终端工厂,A
C0010,河北客户010,华北,河北,经销商,B
C0011,上海客户011,华东,上海,经销商,A
C0012,云南客户012,西南,云南,终端工厂,A
C0013,湖北客户013,华中,湖北,设备集成商,B
C0014,江苏客户014,华东,上海,设备集成商,B
C0015,北京客户015,华北,河北,经销商,C
C0016,北京客户016,华北,天津,终端工厂,B
C0017,广西客户017,华南,广西,终端工厂,B
C0018,上海客户018,华东,山东,经销商,B
C0019,湖北客户019,华中,河南,终端工厂,B
C0020,福建客户020,华南,福建,经销商,B
C0021,山东客户021,华东,江苏,经销商,A
C0022,湖南客户022,华中,河南,终端工厂,A
C0023,江苏客户023,华东,浙江,设备集成商,B
C0024,广东客户024,华南,广西,终端工厂,B
C0025,广东客户025,华南,福建,经销商,B
C0026,河南客户026,华中,湖北,经销商,B
C0027,浙江客户027,华东,浙江,终端工厂,A
C0028,广东客户028,华南,广东,经销商,B
C0029,云南客户029,西南,四川,终端工厂,B
C0030,福建客户030,华南,广西,设备集成商,A
C0031,山东客户031,华东,上海,经销商,A
C0032,天津客户032,华北,天津,设备集成商,B
C0033,江苏客户033,华东,浙江,终端工厂,B
C0034,广东客户034,华南,广东,经销商,A
C0035,江苏客户035,华东,浙江,终端工厂,A
C0036,北京客户036,华北,河北,终端工厂,C
C0037,福建客户037,华南,广东,经销商,B
C0038,江苏客户038,华东,安徽,终端工厂,A
C0039,湖北客户039,华中,河南,经销商,B
C0040,浙江客户040,华东,江苏,终端工厂,A
C0041,福建客户041,华南,广东,终端工厂,A
C0042,重庆客户042,西南,云南,终端工厂,B
C0043,广东客户043,华南,广东,设备集成商,B
C0044,安徽客户044,华东,安徽,终端工厂,A
C0045,安徽客户045,华东,江苏,设备集成商,A
C0046,湖南客户046,华中,湖南,终端工厂,C
C0047,云南客户047,西南,云南,经销商,A
C0048,江苏客户048,华东,山东,经销商,A
C0049,江苏客户049,华东,山东,经销商,C
C0050,广东客户050,华南,广西,终端工厂,A
C0051,广西客户051,华南,广东,终端工厂,C
C0052,广西客户052,华南,广西,终端工厂,A
C0053,河北客户053,华北,河北,终端工厂,A
C0054,天津客户054,华北,北京,终端工厂,A
C0055,天津客户055,华北,天津,设备集成商,C
C0056,山东客户056,华东,山东,设备集成商,A
C0057,浙江客户057,华东,上海,设备集成商,C
C0058,湖南客户058,华中,湖南,终端工厂,B
C0059,河北客户059,华北,河北,经销商,B
C0060,广西客户060,华南,广东,设备集成商,A
C0061,江苏客户061,华东,山东,终端工厂,A
C0062,浙江客户062,华东,上海,经销商,C
C0063,福建客户063,华南,广东,终端工厂,A
C0064,江苏客户064,华东,浙江,经销商,B
C0065,安徽客户065,华东,山东,经销商,B
C0066,上海客户066,华东,山东,终端工厂,A
C0067,福建客户067,华南,广东,终端工厂,A
C0068,四川客户068,西南,重庆,终端工厂,A
C0069,山东客户069,华东,安徽,设备集成商,B
C0070,四川客户070,西南,四川,设备集成商,B
C0071,湖北客户071,华中,湖北,经销商,A
C0072,云南客户072,西南,云南,设备集成商,A
C0073,湖北客户073,华中,湖南,设备集成商,C
C0074,安徽客户074,华东,浙江,终端工厂,B
C0075,江苏客户075,华东,上海,终端工厂,A
C0076,浙江客户076,华东,浙江,经销商,A
C0077,云南客户077,西南,重庆,设备集成商,A
C0078,四川客户078,西南,云南,设备集成商,A
C0079,安徽客户079,华东,浙江,经销商,A
C0080,广西客户080,华南,广东,终端工厂,B
C0081,安徽客户081,华东,江苏,经销商,B
C0082,河北客户082,华北,河北,经销商,A
C0083,浙江客户083,华东,山东,终端工厂,B
C0084,天津客户084,华北,河北,终端工厂,A
