order_id,order_date,customer_id,product_id,quantity,unit_price,order_status,sales_person,channel
O000001,2025-11-03,C0083,P1007,4,1070.79,已完成,刘洋,经销
O000002,2025-12-12,C0013,P1011,9,461.15,已完成,刘洋,经销
O000003,2025-03-22,C0033,P1010,4,608.12,已完成,王强,直销
O000004,2025-07-10,C0103,P1007,10,1066.34,已完成,赵磊,直销
O000005,2025-08-03,C0064,P1015,94,75.25,已完成,陈敏,老客户复购
O000006,2025-08-05,C0035,P1008,43,718.69,已完成,刘洋,老客户复购
O000007,2025-01-09,C0094,P1003,11,1567.33,已完成,陈敏,展会线索
O000008,2025-09-18,C0112,P1010,30,632.62,已完成,王强,展会线索
O000009,2025-02-17,C0045,P1010,39,614.62,已完成,陈敏,经销
O000010,2025-08-15,C0016,P1011,3,505.19,已完成,刘洋,老客户复购
O000011,2025-10-10,C0064,P1006,10,2160.22,已完成,赵磊,展会线索
O000012,2025-08-29,C0039,P1007,5,950.05,已完成,刘洋,老客户复购
O000013,2025-02-05,C0114,P1009,24,724.78,已完成,李娜,直销
O000014,2025-05-14,C0056,P1003,11,1530.9,已完成,陈敏,经销
O000015,2025-07-09,C0014,P1003,13,1556.17,已完成,赵磊,展会线索
O000016,2025-05-17,C0060,P1011,44,468.68,已完成,陈敏,老客户复购
O000017,2025-04-06,C0067,P1006,17,2352.36,已完成,李娜,老客户复购
O000018,2025-04-23,C0019,P1016,68,100.78,已完成,王强,老客户复购
O000019,2025-08-12,C0110,P1003,2,1616.23,已完成,刘洋,老客户复购
O000020,2025-09-04,C0081,P1012,19,336.25,已完成,赵磊,经销
O000021,2025-07-17,C0049,P1013,18,155.38,已完成,刘洋,展会线索
O000022,2025-12-15,C0104,P1005,4,1373.16,已完成,李娜,展会线索
O000023,2025-12-18,C0013,P1015,49,77.04,已完成,陈敏,展会线索
O000024,2025-05-31,C0065,P1011,9,481.62,已完成,张伟,老客户复购
O000025,2025-03-01,C0033,P1016,21,100.31,已完成,刘洋,经销
O000026,2025-08-21,C0044,P1011,5,511.28,已完成,赵磊,老客户复购
O000027,2025-04-26,C0011,P1003,6,1521.16,已完成,赵磊,老客户复购
O000028,2025-04-09,C0118,P1004,14,708.91,已完成,刘洋,老客户复购
O000029,2025-06-18,C0023,P1001,14,771.9,已完成,陈敏,老客户复购
O000030,2025-05-15,C0087,P1004,16,679.57,已完成,李娜,直销
O000031,2025-08-26,C0072,P1016,60,99.22,已完成,王强,直销
O000032,2025-10-13,C0079,P1010,35,588.49,已完成,刘洋,经销
O000033,2025-02-04,C0094,P1001,12,819.64,已完成,刘洋,展会线索
O000034,2025-04-09,C0091,P1015,102,82.29,已完成,赵磊,老客户复购
O000035,2025-04-26,C0037,P1006,1,2150.77,退货,李娜,老客户复购
O000036,2025-08-11,C0103,P1015,55,79.99,已完成,李娜,老客户复购
O000037,2025-05-07,C0063,P1013,19,175.76,已完成,赵磊,经销
O000038,2025-02-08,C0037,P1012,37,347.12,已完成,张伟,老客户复购
O000039,2025-11-09,C0076,P1003,8,1563.4,已完成,李娜,展会线索
O000040,2025-05-23,C0046,P1002,17,981.95,已完成,张伟,老客户复购
O000041,2025-04-11,C0064,P1012,7,357.41,已完成,陈敏,老客户复购
O000042,2025-12-16,C0065,P1010,18,573.12,已完成,张伟,老客户复购
O000043,2025-05-25,C0049,P1006,5,2124.79,已取消,陈敏,直销
O000044,2025-05-09,C0022,P1002,2,1000.92,已完成,陈敏,展会线索
O000045,2025-08-25,C0035,P1015,112,84.24,已完成,刘洋,直销
O000046,2025-03-17,C0069,P1002,14,969.23,已完成,赵磊,老客户复购
O000047,2025-07-23,C0003,P1012,23,365.43,已完成,李娜,直销
O000048,2025-01-23,C0007,P1015,109,79.6,已完成,陈敏,经销
O000049,2025-04-06,C0104,P1010,6,618.79,已完成,陈敏,展会线索
O000050,2025-06-09,C0114,P1009,37,709.6,已完成,王强,展会线索
O000051,2025-04-11,C0076,P1013,42,152.78,已完成,赵磊,直销
O000052,2025-04-05,C0047,P1001,3,750.88,已完成,刘洋,直销
O000053,2025-03-31,C0042,P1004,7,681.15,已取消,李娜,经销
O000054,2025-08-05,C0098,P1004,10,686.13,已完成,张伟,经销
O000055,2025-04-09,C0051,P1005,7,1447.19,已完成,赵磊,直销
O000056,2025-09-25,C0053,P1012,27,357.56,已完成,陈敏,展会线索
O000057,2025-03-25,C0101,P1004,17,676.98,已完成,陈敏,老客户复购
O000058,2025-09-22,C0040,P1015,61,83.6,已完成,王强,老客户复购
O000059,2025-04-09,C0074,P1008,23,749.2,已完成,陈敏,直销
O000060,2025-04-19,C0113,P1016,23,92.49,已完成,王强,经销
O000061,2025-08-23,C0085,P1016,18,102.16,已完成,赵磊,经销
O000062,2025-01-07,C0052,P1003,9,1659.07,已完成,王强,经销
O000063,2025-06-14,C0030,P1009,3,704.54,已完成,李娜,老客户复购
O000064,2025-10-28,C0092,P1005,12,1444.28,已完成,赵磊,老客户复购
O000065,2025-02-08,C0053,P1004,8,681.11,已完成,陈敏,老客户复购
O000066,2025-12-14,C0117,P1005,17,1346.78,已完成,王强,展会线索
O000067,2025-02-27,C0002,P1016,70,87.65,已完成,赵磊,直销
O000068,2025-09-09,C0010,P1008,22,654.21,已完成,刘洋,老客户复购
O000069,2025-05-23,C0056,P1010,5,576.93,已完成,张伟,直销
O000070,2025-08-12,C0008,P1006,8,2293.67,已完成,刘洋,直销
O000071,2025-11-12,C0071,P1001,9,731.45,退货,刘洋,老客户复购
O000072,2025-07-20,C0038,P1012,30,358.66,已完成,李娜,展会线索
O000073,2025-03-23,C0051,P1009,27,695.2,已完成,陈敏,老客户复购
O000074,2025-12-31,C0021,P1006,1,2389.94,已完成,赵磊,展会线索
O000075,2025-10-09,C0047,P1016,36,87.89,已完成,陈敏,直销
O000076,2025-11-07,C0105,P1012,33,356.47,已完成,陈敏,老客户复购
O000077,2025-02-22,C0114,P1013,19,166.31,已完成,张伟,经销
O000078,2025-06-22,C0074,P1003,17,1649.52,已完成,刘洋,展会线索
O000079,2025-02-08,C0081,P1008,5,715.41,已完成,陈敏,直销
O000080,2025-08-10,C0097,P1009,25,664.48,已完成,王强,老客户复购
O000081,2025-04-13,C0018,P1001,6,749.05,已完成,陈敏,直销
O000082,2025-11-04,C0066,P1007,15,1019.48,已完成,赵磊,展会线索
O000083,2025-05-13,C0097,P1007,17,930.98,已完成,李娜,老客户复购
O000084,2025-02-03,C0075,P1005,11,1447.07,已完成,陈敏,展会线索
O000085,2025-05-31,C0017,P1002,16,1038.49,已完成,李娜,老客户复购
O000086,2025-07-14,C0106,P1008,34,656.54,已完成,王强,展会线索
O000087,2025-01-05,C0043,P1005,6,1342.73,已完成,陈敏,直销
O000088,2025-02-03,C0017,P1005,9,1383.1,已完成,刘洋,经销
O000089,2025-02-25,C0106,P1014,70,39.95,已完成,王强,直销
O000090,2025-12-21,C0024,P1003,14,1629.09,已完成,张伟,经销
O000091,2025-12-31,C0009,P1002,7,1042.83,退货,张伟,展会线索
O000092,2025-10-01,C0056,P1008,17,682.68,已取消,刘洋,经销
O000093,2025-02-08,C0040,P1003,12,1572.39,已完成,刘洋,老客户复购
O000094,2025-03-08,C0079,P1007,4,972.18,已完成,王强,展会线索
O000095,2025-08-24,C0017,P1004,6,731.54,已完成,陈敏,经销
O000096,2025-11-11,C0119,P1009,35,665.97,已完成,李娜,展会线索
O000097,2025-04-22,C0021,P1003,9,1510.14,已完成,赵磊,经销
O000098,2025-02-05,C0120,P1014,93,39.93,已完成,王强,展会线索
O000099,2025-04-04,C0022,P1010,4,615.48,已完成,赵磊,老客户复购
O000100,2025-10-27,C0026,P1016,77,93.29,已完成,王强,老客户复购
O000101,2025-02-16,C0085,P1012,40,369.04,已完成,赵磊,展会线索
O000102,2025-09-16,C0007,P1005,10,1442.99,已完成,陈敏,展会线索
O000103,2025-06-17,C0098,P1004,5,678.77,已完成,赵磊,展会线索
O000104,2025-02-07,C0050,P1005,17,1482.65,已完成,王强,经销
O000105,2025-05-17,C0026,P1005,1,1354.84,退货,李娜,展会线索
O000106,2025-11-24,C0101,P1012,32,377.2,已完成,陈敏,直销
O000107,2025-03-19,C0064,P1005,13,1373.84,已完成,陈敏,展会线索
O000108,2025-04-14,C0046,P1007,6,1032.95,已完成,刘洋,经销
O000109,2025-05-25,C0109,P1005,14,1294.39,已完成,张伟,经销
O000110,2025-07-17,C0114,P1010,10,623.14,已完成,赵磊,老客户复购
O000111,2025-10-16,C0065,P1014,45,39.37,已完成,陈敏,直销
O000112,2025-10-16,C0005,P1009,12,647.31,已完成,陈敏,直销
O000113,2025-06-08,C0047,P1007,15,917.39,已完成,陈敏,经销
O000114,2025-11-28,C0094,P1001,4,791.01,已完成,王强,老客户复购
O000115,2025-01-11,C0116,P1005,6,1423.6,已完成,陈敏,直销
O000116,2025-08-06,C0071,P1007,1,1007.95,已完成,刘洋,展会线索
O000117,2025-12-22,C0111,P1012,39,326.64,已取消,刘洋,展会线索
O000118,2025-02-20,C0090,P1015,95,86.16,已完成,张伟,直销
O000119,2025-12-12,C0103,P1002,1,1059.95,已完成,刘洋,老客户复购
O000120,2025-05-29,C0047,P1011,12,432.6,退货,刘洋,直销
O000121,2025-03-04,C0051,P1013,40,167.94,已完成,张伟,直销
O000122,2025-01-17,C0071,P1001,7,691.19,已完成,刘洋,老客户复购
O000123,2025-10-12,C0070,P1010,30,620.11,已完成,张伟,老客户复购
O000124,2025-12-27,C0020,P1006,8,2275.63,已完成,王强,老客户复购
O000125,2025-08-03,C0052,P1012,34,365.26,已完成,李娜,经销
O000126,2025-05-24,C0068,P1001,14,803.34,已完成,赵磊,经销
O000127,2025-04-23,C0049,P1008,6,716.27,已完成,张伟,展会线索
