product_id,product_name,category,unit_cost,standard_price,supplier
P1001,伺服电机A型,电机类,522,799.93,南通华科
P1002,伺服电机B型,电机类,690,1040.91,南通华科
P1003,步进电机A型,电机类,1120,1636.22,常州机电
P1004,减速电机C型,电机类,541,716.52,苏州精工
P1005,PLC控制器标准版,控制器类,980,1458.49,苏州精工
P1006,PLC控制器增强版,控制器类,1773,2443.12,苏州精工
P1007,变频控制器A型,控制器类,780,1044.88,南通华科
P1008,精密齿轮箱,传动部件,523,743.47,上海工控
P1009,同步带轮组件,传动部件,565,711.1,南通华科
P1010,联轴器套件,传动部件,456,621.63,上海工控
P1011,铝合金支架,机加工件,393,502.7,无锡智造
P1012,不锈钢轴套,机加工件,315,371.9,南通华科
P1013,CNC定制件,机加工件,138,172.93,南通华科
P1014,工业线缆,配套耗材,34,41.43,南通华科
P1015,传感器支架,配套耗材,70,84.31,苏州精工
P1016,密封圈套装,配套耗材,83,101.3,苏州精工
