order_id,order_date,customer_id,product_id,quantity,unit_price,order_status,sales_person,channel,product_name,category,unit_cost,standard_price,supplier,customer_name,region,province,customer_type,credit_level,material_cost,labor_cost,manufacturing_cost,logistics_cost,other_cost,revenue,total_cost,profit,gross_margin_rate,order_month
O000001,2025-11-03,C0083,P1007,4,1070.79,已完成,刘洋,经销,变频控制器A型,控制器类,780,1044.88,南通华科,浙江客户083,华东,山东,终端工厂,B,2042.94,558.11,485.5,209.96,30.56,4283.16,3327.07,956.0899999999997,0.22322070620756632,2025-11
O000002,2025-12-12,C0013,P1011,9,461.15,已完成,刘洋,经销,铝合金支架,机加工件,393,502.7,无锡智造,湖北客户013,华中,湖北,设备集成商,B,2508.18,494.2,356.39,119.1,52.45,4150.349999999999,3530.3199999999993,620.0300000000002,0.1493922199332587,2025-12
O000003,2025-03-22,C0033,P1010,4,608.12,已完成,王强,直销,联轴器套件,传动部件,456,621.63,上海工控,江苏客户033,华东,浙江,终端工厂,B,1150.62,277.72,272.08,68.64,25.03,2432.48,1794.09,638.3900000000001,0.2624440899822404,2025-03
O000004,2025-07-10,C0103,P1007,10,1066.34,已完成,赵磊,直销,变频控制器A型,控制器类,780,1044.88,南通华科,上海客户103,华东,上海,终端工厂,A,5100.27,1368.01,802.82,326.06,95.64,10663.4,7692.800000000001,2970.5999999999985,0.27857906483860667,2025-07
O000005,2025-08-03,C0064,P1015,94,75.25,已完成,陈敏,老客户复购,传感器支架,配套耗材,70,84.31,苏州精工,江苏客户064,华东,浙江,经销商,B,4667.73,827.52,820.44,206.82,129.63,7073.5,6652.14,421.3599999999997,0.05956881317593832,2025-08
O000006,2025-08-05,C0035,P1008,43,718.69,已完成,刘洋,老客户复购,精密齿轮箱,传动部件,523,743.47,上海工控,江苏客户035,华东,浙江,终端工厂,A,14427.8,3568.86,2430.26,1495.4,429.41,30903.670000000002,22351.73,8551.940000000002,0.2767289451382312,2025-08
O000007,2025-01-09,C0094,P1003,11,1567.33,已完成,陈敏,展会线索,步进电机A型,电机类,1120,1636.22,常州机电,安徽客户094,华东,安徽,终端工厂,A,8409.95,1799.05,1485.02,386.94,242.4,17240.629999999997,12323.36,4917.269999999997,0.28521405540284767,2025-01
O000008,2025-09-18,C0112,P1010,30,632.62,已完成,王强,展会线索,联轴器套件,传动部件,456,621.63,上海工控,广东客户112,华南,福建,终端工厂,A,9787.44,1936.92,2092.9,383.5,361.39,18978.6,14562.15,4416.449999999999,0.23270683822832028,2025-09
O000009,2025-02-17,C0045,P1010,39,614.62,已完成,陈敏,经销,联轴器套件,传动部件,456,621.63,上海工控,安徽客户045,华东,江苏,设备集成商,A,11649.38,2539.26,2272.27,962.13,378.6,23970.18,17801.64,6168.540000000001,0.2573422477428205,2025-02
O000010,2025-08-15,C0016,P1011,3,505.19,已完成,刘洋,老客户复购,铝合金支架,机加工件,393,502.7,无锡智造,北京客户016,华北,天津,终端工厂,B,787.52,178.49,120.02,38.87,15.44,1515.57,1140.34,375.23,0.24758341746009754,2025-08
O000011,2025-10-10,C0064,P1006,10,2160.22,已完成,赵磊,展会线索,PLC控制器增强版,控制器类,1773,2443.12,苏州精工,江苏客户064,华东,浙江,经销商,B,11983.22,2721.52,2528.19,866.16,184.23,21602.199999999997,18283.32,3318.8799999999974,0.15363620371999137,2025-10
O000012,2025-08-29,C0039,P1007,5,950.05,已完成,刘洋,老客户复购,变频控制器A型,控制器类,780,1044.88,南通华科,湖北客户039,华中,河南,经销商,B,3451.27,472.59,557.58,88.22,75.74,4750.25,4645.400000000001,104.84999999999945,0.022072522498815736,2025-08
O000013,2025-02-05,C0114,P1009,24,724.78,已完成,李娜,直销,同步带轮组件,传动部件,565,711.1,南通华科,江苏客户114,华东,安徽,终端工厂,B,9000.12,2189.13,1385.59,396.97,247.82,17394.72,13219.63,4175.090000000002,0.2400205349669326,2025-02
O000014,2025-05-14,C0056,P1003,11,1530.9,已完成,陈敏,经销,步进电机A型,电机类,1120,1636.22,常州机电,山东客户056,华东,山东,设备集成商,A,8682.17,1760.11,1423.28,558.34,241.4,16839.9,12665.300000000001,4174.6,0.2478993343190874,2025-05
O000015,2025-07-09,C0014,P1003,13,1556.17,已完成,赵磊,展会线索,步进电机A型,电机类,1120,1636.22,常州机电,江苏客户014,华东,上海,设备集成商,B,9638.87,2513.09,1913.28,328.82,168.84,20230.21,14562.900000000001,5667.309999999998,0.28014093773618753,2025-07
O000016,2025-05-17,C0060,P1011,44,468.68,已完成,陈敏,老客户复购,铝合金支架,机加工件,393,502.7,无锡智造,广西客户060,华南,广东,设备集成商,A,11500.3,2798.94,1957.2,1013.96,201.65,20621.920000000002,17472.050000000003,3149.869999999999,0.15274377943469855,2025-05
O000017,2025-04-06,C0067,P1006,17,2352.36,已完成,李娜,老客户复购,PLC控制器增强版,控制器类,1773,2443.12,苏州精工,福建客户067,华南,广东,终端工厂,A,20292.37,3651.22,4614.39,1703.95,317.2,39990.12,30579.13,9410.990000000002,0.23533287722067353,2025-04
